Food,"Amount of carbohydrates per 100 grams","Amount of fats per 100 grams"
"Milk, 1% fat",5,1
"Milk, 2% fat",4.8,2
"Milk, 3.7% fat",4.7,3.7
"Milk, non fat",5,0
Breast Milk,7,4.4
"Milk, whole, 3.25% fat",4.8,3.25
Ensure ,20,11.5
Powdered milk,38,27
Soya Milk,3,1.8
Yoghurt drink,12,3.3
Milk pudding,14,2.9
Custard,17,2
Evaporated milk,8,4.1
Condensed milk,56,8
Full fat natural yoghurt,7,3.3
0% fat yoghurt,8,0
Low fat fruit yoghurt,14,1.08
Plain Fromage frais,4,3
Flavoured fromage frais,10,6.3
"Bread, white",49,3.3
Garlic bread,42,16.6
Raisin bread,52,4.4
Banana bread,55,11
"Bacon, baked",1.4,43.3
"Bacon, microwaved",0.5,41.78
"Bacon, pan-fried",1.4,35.1
"Bacon, raw",1.3,2.6
"Egg, boiled",1.1,10.6
"Egg, fried",0.8,14.8
"Egg, omlet",0.6,11.7
"Egg, poached",0.7,9.5
"Egg, scrambled",0.7,11
"Hamburger, single patty",34,13.13
"Hamburger, double patty",24,27.9
Hot Dog,4.2,17
"Spaghetti, cooked",31,2
"Ice cream, vanilla",24,8.2
"Ice cream, strawberry",28,8.2
Banana ,22.8,0.33
Apple,13.8,0.17
Grapes,17.2,0.35
Grape Juice,14.8,0.13
Lemon,9.3,0.3
Corn Flour,79.1,3.9
White Flour,75.1,1
Rye Flour,73.3,1.5
French Bread,58.6,2.4
Whole grain toast,49.9,11.3
Cooked white rice,28.1,0.28
Cooked whole wheat rice,25.8,2.5
Cooked white pasta,30.9,1.14
Cooked whole wheat pasta,30.1,1.7
Oat flakes,66.6,7
Cooked black beans,14,0.54
Cooked chickpeas,27.4,2.6
Cooked lentils,16.3,0.38
Tamarind,72.5,0.6
Pine nuts,22.4,68.4
Grapes,13.6,0.35
Jack fruit,22.5,0.6
Mango,19.4,0.38
Papaya,10.4,0.26
Pear,14,0.14
Yam,27.5,0.14
Cooked Cassava,30.1,3
Raw beets,11.1,0.17
Cooked green peas,11.7,0.22
Cooked purple yam,18.9,0.1
Cooked pumpkin,10.8,0.7
Cooked english potatoes,11.9,0.3
Cooked sweet potato,18.4,0.15
"Corned beef, brisket, cooked",0.5,19
"Corned beef, hash, with potato",9,10.2
Baguette,55,3.4
Breadsticks,73,10
Ciabatta ,51,3.5
Finger roll,52,6.5
Crusty roll ,56,1.5
Burger roll,49,2.6
Croissant,43,21
Crumpet,44,5.6
English muffin,43,2
Pain au chocolate,46,15.4
Pain au raisin,39,15
Belgian waffle,53,12.3
Danish pastry,51,22
Plain Naan,50,6.3
Poppadum,42,3.3
Chapatti,43,12.5
White Pitta,50,1.2
Tortilla white,58,8.04
Tortilla wholemeal,46,13
Sponge cake,47,2.7
Fruit cake,58,9.1
Carrot cake ,40,17.5
Swiss roll,63,14
Gateau,28,0.3
